Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Sarepta Therapeutics Inc,Healthcare,Biotechnology,USA,NASD,-,-,-2.58,4.99%,98.25M,-44.82%,2.12B,5.56,3.88,-0.05%,93.37M,-40.82%,-248.39M,-,0.73,90.14%,9.92%,-70.68%,2.23B,0.95,-250.50%,-0.88%,2.04,-82.68%,11.63,1.85,218.14%,-7.43%,9.26M,-82.75%,5.32,4.05,34.45%,-23.61%,18.30,173.25,-82.27%,-,-,-,-9.99%,-87.56%,0.57,-,2.46,37.94%,80.07%,17.81%,3.68,-,4.02,-1881.09%,-5.25%,21.51,27.21%,12.77%,1372,1.18,59.15%,-11.12%,1.93,60.44,Yes / Yes,1.18,-1361.33%,0.00%,3.14,20.94,8.35%,-43.44%,80.15%,May 06 AMC,4.53M,21.56,-41.69%,-52.30%,-77.86%,"

","14,227,952",2.96%,SRPT
Sempra,Utilities,Utilities - Diversified,USA,NYSE,S&P 500,16.30,4.54,0.09%,651.93M,-2.49%,48.31B,14.86,4.98,-9.21%,651.59M,-4.55%,2.92B,3.29,0.94,89.83%,1.01%,4.71%,13.20B,3.66,-3.02%,-0.17%,1.52,-15.75%,47.17,1.57,10.51%,3.15%,6.56M,-2.71%,2.70,27.47,4.96%,9.76%,61.90,95.77,-15.55%,2.57 (3.47%),-,3.92%,4.50%,-22.65%,0.65,2.51 (3.38%),0.51,3.69%,27.73%,19.68%,1.54,"Jun 26, 2025",0.57,0.75%,22.38%,42.28,1.53%,1.36%,16773,1.19,-0.39%,22.14%,2.25,80.73,Yes / Yes,1.05,10.05%,56.16%,0.95,73.78,-2.94%,9.14%,6.75%,May 08 BMO,4.31M,74.08,-3.31%,-0.46%,-7.97%,"

","4,106,228",0.41%,SRE
1st Source Corp,Financial,Banks - Regional,USA,NASD,RUT,10.19,5.75,25.49%,24.56M,-5.71%,1.44B,9.86,5.94,0.00%,18.30M,-6.00%,139.42M,-,1.47,74.11%,1.14%,-5.76%,575.62M,2.50,10.76%,4.72%,2.00,-7.85%,47.29,1.24,0.11%,1.58%,0.21M,17.01%,-,-,-,12.84%,49.14,68.12,0.39%,1.48 (2.53%),6.87,8.67%,11.05%,-13.97%,0.66,1.46 (2.49%),-,8.40%,-,19.27%,1.48,"May 05, 2025",0.06,15.19%,31.18%,39.30,1.78%,1.44%,1205,0.14,9.30%,24.22%,2.33,69.00,Yes / Yes,0.09,26.92%,25.86%,2.04,59.39,1.04%,10.68%,5.50%,Apr 24 BMO,104.39K,58.61,-3.52%,-1.32%,-3.69%,"

","213,009",-1.31%,SRCE
Sportradar Group AG,Technology,Software - Application,Switzerland,NASD,-,120.20,0.21,41.25%,207.17M,2.39%,7.71B,46.69,0.53,0.00%,181.56M,3.46%,63.69M,1.37,0.04,44.08%,3.63%,23.56%,1.24B,6.25,217.04%,-4.13%,3.21,41.45%,3.54,7.01,46.06%,2.47%,6.59M,123.92%,1.24,19.96,87.83%,6.40%,10.06,25.85,43.08%,-,18.68,33.48%,5.81%,-4.02%,2.04,-,1.35,22.96%,19.53%,146.74%,0.84,-,1.35,116.24%,10.95%,59.44,3.03%,1.54%,4766,0.05,21.75%,5.16%,1.27,28.63,Yes / Yes,0.04,3880.95%,0.00%,0.50,24.65,0.53%,37.65%,13.50%,May 12 BMO,2.05M,24.81,2.96%,5.75%,32.68%,"

","1,035,695",0.65%,SRAD
Spire Inc,Utilities,Utilities - Regulated Gas,USA,NYSE,RUT,17.82,4.05,2.72%,59.01M,-3.13%,4.26B,14.20,5.08,-0.16%,57.41M,-1.49%,236.90M,1.95,-0.15,87.45%,3.53%,-5.36%,2.43B,1.76,8.82%,-1.10%,4.51,6.03%,55.35,1.30,13.14%,2.28%,2.02M,24.07%,0.26,280.41,9.15%,7.30%,58.09,79.81,6.47%,3.15 (4.36%),-,3.53%,3.45%,-9.51%,0.65,3.11 (4.31%),0.34,5.84%,29.31%,24.32%,1.37,"Jun 11, 2025",0.43,2.54%,20.83%,40.42,0.76%,1.22%,3475,1.36,-7.10%,9.76%,2.11,78.89,Yes / Yes,0.95,-2.06%,72.11%,0.82,72.04,-14.49%,-2.01%,-6.84%,Apr 30 BMO,448.79K,72.22,-2.31%,-3.53%,1.78%,"

","369,016",0.25%,SR
Sociedad Quimica Y Minera de Chile S.A. ADR,Basic Materials,Specialty Chemicals,Chile,NYSE,-,15.24,2.11,0.64%,142.82M,-5.63%,4.59B,10.18,3.16,0.00%,141.91M,-7.67%,602.68M,-,0.61,29.50%,5.99%,-29.49%,4.48B,1.03,266.60%,6.73%,7.74,-18.19%,18.38,1.75,33.52%,5.46%,8.51M,-26.20%,16.53,1.95,-,12.17%,29.36,45.89,-11.55%,1.14 (3.54%),12.62,-,6.64%,-29.92%,1.07,-,1.96,18.43%,27.84%,9.54%,1.06,"May 09, 2024",2.88,53.25%,23.61%,42.70,1.77%,2.13%,8344,0.90,-28.74%,13.45%,1.94,47.28,Yes / Yes,0.73,115.82%,-,0.85,33.15,1.66%,-17.64%,-4.42%,May 28 BMO,1.10M,32.16,-1.19%,-4.95%,-15.30%,"

","938,038",-2.99%,SQM
SPX Technologies Inc,Industrials,Building Products & Equipment,USA,NYSE,RUT,35.86,4.33,2.92%,46.70M,-4.96%,7.25B,22.02,7.04,-6.69%,45.34M,-0.58%,204.30M,3.06,1.45,93.87%,1.74%,16.04%,2.00B,3.62,12.81%,0.26%,2.87,-2.00%,30.91,5.02,11.91%,6.88%,0.79M,12.61%,3.81,40.75,11.73%,15.24%,115.00,183.83,6.60%,-,31.38,20.68%,8.82%,-15.62%,1.23,-,1.24,5.46%,37.13%,34.89%,3.71,"Jun 12, 2015",1.88,30.05%,16.47%,53.16,1.42%,1.51%,4300,0.67,10.78%,10.21%,1.00,175.67,Yes / Yes,0.60,4.11%,0.00%,0.70,155.05,0.13%,17.57%,3.74%,May 01 AMC,275.98K,155.12,-0.23%,6.64%,3.10%,"

","192,705",0.05%,SPXC
Sprout Social Inc,Technology,Software - Application,USA,NASD,RUT,-,-1.04,14.10%,51.85M,-8.50%,1.20B,23.48,0.88,-4.59%,50.01M,-14.02%,-59.62M,-,0.15,93.10%,6.40%,-17.70%,418.41M,2.86,46.18%,-0.13%,4.36,-41.34%,3.01,6.82,19.75%,-14.64%,3.20M,-39.93%,1.82,11.29,31.34%,-36.95%,18.52,39.74,-33.08%,-,39.81,-2.58%,-28.49%,-48.30%,1.04,-,0.87,31.63%,77.56%,10.96%,0.83,-,0.87,16.49%,-12.25%,39.64,1.86%,2.06%,1322,0.21,17.79%,-14.25%,2.27,26.85,Yes / Yes,0.19,19.55%,-,1.06,20.60,1.34%,46.08%,12.92%,May 08 AMC,734.79K,20.55,-4.58%,-3.64%,-24.50%,"

","775,445",-0.24%,SPT
SPS Commerce Inc,Technology,Software - Application,USA,NASD,RUT,62.84,2.14,1.39%,38.00M,-7.02%,5.10B,29.65,4.53,-10.69%,37.45M,-10.98%,81.25M,4.04,0.91,98.84%,3.83%,4.47%,669.74M,7.62,13.10%,-0.62%,4.23,-31.85%,24.23,5.54,15.15%,8.34%,1.43M,-26.89%,2.50,53.76,15.55%,10.13%,120.08,218.61,-26.97%,-,36.28,16.80%,8.76%,-38.54%,0.72,-,1.20,17.97%,63.58%,11.89%,4.06,-,1.20,16.20%,14.85%,39.63,1.44%,2.10%,2783,0.01,19.46%,12.13%,1.58,177.50,Yes / Yes,0.01,21.75%,0.00%,0.77,134.64,1.41%,18.05%,21.38%,Apr 24 AMC,338.97K,134.36,-4.94%,-3.84%,-19.00%,"

","261,650",-0.21%,SPSC
ARS Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.16,44.24%,98.13M,0.88%,1.46B,-,-0.71,-1.55%,54.77M,8.97%,-15.65M,-,-0.47,53.75%,31.29%,28.53%,97.12M,14.99,-1939.16%,11.98%,10.26,17.25%,2.33,6.35,51.80%,-5.64%,17.14M,65.77%,2.81,5.28,55.23%,-6.91%,7.55,18.51,40.47%,-,-,-,-6.83%,-19.94%,0.84,-,10.74,-,97.66%,96.29%,0.76,-,11.00,68.69%,-27.87%,54.31,4.04%,3.55%,160,0.00,971120.00%,-16.11%,1.00,31.60,Yes / Yes,0.00,-224.37%,0.00%,0.59,15.16,6.57%,-3.46%,-,May 14 BMO,1.67M,14.82,1.68%,4.84%,11.19%,"

","983,605",-2.24%,SPRY
Spirit Aerosystems Holdings Inc,Industrials,Aerospace & Defense,USA,NYSE,-,-,-18.22,1.14%,117.32M,-3.39%,4.35B,22.07,1.68,0.00%,115.98M,-1.90%,-2136.00M,-,-0.60,91.38%,9.05%,9.80%,6.14B,0.71,91.51%,0.53%,7.94,14.19%,-27.27,-,242.26%,-32.26%,10.49M,26.28%,1.88,19.77,-,-,27.00,39.00,8.86%,-,-,-,-255.01%,-4.87%,1.63,-,0.44,-4.29%,-22.79%,37.41%,0.67,"Sep 09, 2022",1.03,-109.95%,-29.75%,48.95,1.44%,1.12%,20370,-,-2.91%,-34.81%,2.82,36.07,Yes / Yes,-,1.80%,-,0.84,37.01,-10.35%,-276.87%,-10.63%,May 01 AMC,1.32M,37.10,-1.33%,3.11%,9.43%,"

","1,111,770",0.24%,SPR
Spotify Technology S.A,Communication Services,Internet Content & Information,Luxembourg,NYSE,-,118.89,6.07,25.18%,205.06M,4.03%,144.82B,50.50,14.28,0.00%,150.33M,9.90%,1.25B,2.81,2.50,68.03%,4.38%,26.66%,17.41B,8.32,54.86%,1.39%,2.79,50.23%,32.91,21.92,46.13%,10.66%,6.58M,135.70%,42.57,16.94,42.34%,24.28%,288.07,723.70,61.22%,-,52.08,-,17.32%,-0.33%,1.67,-,1.48,17.50%,30.92%,150.38%,22.32,-,1.48,1082.65%,10.51%,65.91,0.90%,2.13%,-,0.34,16.07%,7.19%,1.98,697.65,Yes / Yes,0.07,7.34%,0.00%,0.46,715.57,0.07%,-51.03%,11.74%,Apr 29 BMO,2.36M,721.28,5.82%,13.89%,40.82%,"

","1,093,795",0.80%,SPOT
SiriusPoint Ltd,Financial,Insurance - Reinsurance,Bermuda,NYSE,RUT,20.28,0.95,8.36%,116.02M,0.16%,2.25B,7.89,2.45,-29.80%,106.85M,0.52%,150.60M,1.14,0.60,86.44%,2.12%,26.49%,2.65B,0.85,24.79%,-26.31%,3.06,24.94%,15.73,1.23,12.48%,1.68%,2.26M,58.14%,-,-,17.75%,7.20%,11.92,20.00,18.00%,-,-,-13.44%,5.56%,-3.30%,0.86,-,-,21.93%,-,62.25%,0.55,-,0.72,-44.54%,9.88%,54.16,1.71%,1.22%,1072,0.34,-5.57%,5.69%,2.00,20.00,Yes / Yes,0.34,-0.14%,0.00%,0.77,19.56,0.48%,111.30%,6.10%,May 05 AMC,738.26K,19.34,-0.37%,5.98%,24.18%,"

","568,186",-1.12%,SPNT
Sapiens International Corp NV,Technology,Software - Application,Israel,NASD,RUT,21.91,1.30,45.17%,55.74M,-4.44%,1.59B,18.36,1.55,0.00%,30.64M,-0.56%,72.76M,5.77,0.33,39.86%,2.74%,3.73%,544.24M,2.91,-4.46%,1.42%,5.17,1.25%,8.26,3.43,9.34%,10.41%,0.84M,-15.24%,3.68,7.70,3.80%,16.09%,23.69,40.64,7.12%,0.58 (2.04%),18.38,19.63%,15.26%,-30.17%,0.97,0.59 (2.06%),1.68,10.74%,45.44%,19.80%,0.64,"Apr 07, 2025",1.68,10.25%,16.99%,48.36,2.07%,1.32%,4850,0.09,3.84%,13.37%,3.40,29.75,Yes / Yes,0.03,3.26%,45.90%,0.76,28.51,-0.14%,4.52%,1.38%,May 08 BMO,162.09K,28.38,-0.99%,2.13%,-3.55%,"

","123,384",-0.46%,SPNS
Sphere Entertainment Co,Communication Services,Entertainment,USA,NYSE,RUT,-,-9.82,23.82%,28.98M,-2.38%,1.37B,-,-,-0.64%,27.43M,-1.52%,-349.03M,-,-1.54,100.46%,28.19%,20.44%,1.19B,1.16,-,9.07%,9.06,-0.55%,59.75,0.64,-,-8.03%,7.73M,9.49%,13.28,2.87,-,-15.64%,23.89,50.88,-5.28%,-,-,-50.11%,-12.55%,-24.94%,1.66,-,0.52,-0.42%,20.29%,59.86%,1.50,-,0.53,-188.54%,-18.29%,55.71,3.01%,2.60%,970,0.68,-5.04%,-29.34%,1.89,49.44,Yes / Yes,0.30,-70.16%,-,0.59,39.51,-3.13%,-4.19%,-12.68%,May 08 BMO,853.27K,38.19,0.18%,15.49%,-2.45%,"

","500,222",-3.34%,SPHR
Suburban Propane Partners LP,Utilities,Utilities - Regulated Gas,USA,NYSE,-,12.98,1.44,4.48%,64.94M,4.06%,1.22B,10.22,1.83,-0.62%,62.05M,-3.06%,94.76M,1.95,-0.17,39.41%,1.16%,-10.65%,1.42B,0.85,4.68%,11.78%,4.28,-1.27%,10.35,1.81,6.09%,4.00%,0.72M,-10.90%,0.14,130.55,6.67%,14.42%,15.20,22.24,8.78%,1.30 (6.95%),17.31,0.78%,4.60%,-15.87%,0.12,1.30 (6.95%),0.81,0.92%,21.31%,23.09%,0.51,"May 06, 2025",1.06,-14.66%,14.63%,47.87,2.26%,1.75%,3098,2.12,4.02%,6.65%,3.00,17.00,Yes / Yes,2.06,22.14%,113.65%,0.96,18.77,8.23%,-5.14%,17.98%,May 08 BMO,167.71K,18.71,0.12%,-3.65%,-2.68%,"

","160,353",-0.32%,SPH
S&P Global Inc,Financial,Financial Data & Stock Exchanges,USA,NYSE,S&P 500,39.34,12.74,0.14%,313.61M,-2.50%,153.68B,26.45,18.95,-5.96%,306.26M,-4.09%,3.95B,3.79,4.14,88.96%,0.78%,2.18%,14.49B,10.60,7.89%,-0.60%,1.87,-2.30%,106.41,4.71,11.85%,6.57%,2.38M,14.61%,4.79,104.61,10.39%,11.68%,427.14,545.39,0.61%,3.81 (0.76%),27.68,7.51%,8.73%,-8.13%,1.19,3.74 (0.75%),0.90,16.23%,61.35%,17.31%,8.49,"May 28, 2025",0.90,42.72%,41.03%,42.59,0.96%,0.86%,42350,0.36,12.98%,27.27%,1.39,584.86,Yes / Yes,0.36,12.24%,29.47%,0.94,505.00,2.13%,4.05%,8.19%,Apr 29 BMO,1.27M,501.07,-2.14%,0.81%,-1.10%,"

","1,196,984",-0.78%,SPGI
"Simon Property Group, Inc",Real Estate,REIT - Retail,USA,NYSE,S&P 500,23.48,6.69,0.87%,326.42M,-2.34%,59.26B,22.90,6.86,0.15%,323.59M,-4.84%,2.22B,-,1.54,92.75%,1.56%,-4.65%,5.99B,9.89,-12.44%,1.45%,2.76,-11.33%,7.86,20.00,7.91%,6.32%,5.03M,3.48%,3.66,42.94,-1.55%,73.22%,136.34,190.13,-8.76%,8.48 (5.40%),17.15,2.13%,8.84%,-17.36%,1.48,8.32 (5.30%),0.80,1.05%,60.92%,15.25%,3.07,"Jun 09, 2025",0.80,-14.90%,51.47%,42.58,0.75%,1.07%,3000,9.70,4.25%,37.06%,2.00,184.47,Yes / Yes,8.65,-38.19%,107.34%,0.64,157.86,9.41%,-6.79%,2.11%,May 12 AMC,1.82M,157.13,-1.93%,-0.39%,-7.26%,"

","1,164,743",-0.46%,SPG
Spectrum Brands Holdings Inc,Consumer Defensive,Household & Personal Products,USA,NYSE,-,24.89,2.09,3.78%,25.30M,-5.43%,1.30B,11.23,4.64,-7.00%,24.06M,-20.50%,59.10M,2.96,1.42,102.94%,9.81%,-26.38%,2.93B,0.44,-3.18%,-2.18%,4.40,-42.90%,74.49,0.70,17.93%,1.39%,2.36M,-42.31%,3.84,13.56,8.41%,2.79%,51.49,96.62,-38.40%,1.82 (3.51%),16.45,-,2.28%,-46.13%,0.91,1.83 (3.52%),1.40,-4.86%,37.42%,1.08%,1.94,"May 27, 2025",2.34,-95.70%,4.97%,30.90,2.91%,2.36%,3100,0.38,1.46%,2.02%,1.80,83.57,Yes / Yes,0.37,-98.29%,41.06%,2.15,52.91,-2.25%,-50.12%,-5.94%,May 08 BMO,536.50K,52.05,-7.71%,-13.41%,-34.16%,"

","1,152,494",-1.63%,SPB
SoundHound AI Inc,Technology,Software - Application,USA,NASD,RUT,-,-0.55,10.43%,368.87M,-4.60%,3.75B,-,-0.23,-3.86%,359.84M,-16.53%,-188.52M,-,-0.09,41.05%,32.45%,-2.40%,102.23M,36.70,109.62%,24.67%,4.15,-31.68%,0.99,9.44,-330.00%,-43.07%,116.77M,102.16%,0.61,15.26,-,-68.22%,3.82,24.98,-52.92%,-,-,-,-47.19%,-62.61%,2.85,-,4.92,-,34.35%,144.50%,0.67,-,4.92,-42.58%,-132.17%,45.45,5.12%,5.02%,842,0.01,101.39%,-184.41%,1.78,11.83,Yes / Yes,0.01,368.04%,-,0.96,9.72,-4.10%,461.73%,151.24%,May 08 AMC,28.10M,9.34,-5.71%,-1.31%,-5.41%,"

","26,945,440",-3.91%,SOUN
Sony Group Corporation ADR,Technology,Consumer Electronics,Japan,NYSE,-,20.76,1.24,0.00%,6.03B,-2.06%,154.60B,18.87,1.36,-,6.02B,3.97%,7.50B,4.97,0.25,7.87%,0.19%,4.65%,84.99B,1.82,-5.23%,4.32%,1.78,14.66%,9.08,2.83,11.26%,3.25%,11.65M,52.56%,3.81,6.73,4.18%,14.32%,15.86,26.94,21.27%,0.17 (0.65%),9.46,7.37%,10.95%,-4.77%,0.96,0.07 (0.26%),0.57,2.32%,34.85%,61.79%,0.49,"Mar 31, 2025",0.70,14.01%,10.88%,47.87,1.79%,1.84%,113000,0.51,-5.46%,8.83%,1.64,30.58,Yes / Yes,0.25,3.48%,7.86%,0.69,26.09,-12.01%,30.41%,-26.39%,May 14 BMO,6.54M,25.66,-1.97%,2.36%,16.74%,"

","4,486,656",-1.65%,SONY
Sonos Inc,Technology,Consumer Electronics,USA,NASD,RUT,-,-0.59,2.35%,123.76M,-4.19%,1.21B,-,-0.38,43.92%,117.26M,-7.53%,-69.29M,-,-0.26,91.50%,6.07%,-11.20%,1.46B,0.83,-158.06%,-1.83%,3.71,-30.50%,3.09,3.26,52.08%,-8.07%,7.12M,-35.98%,1.86,5.41,45.57%,-15.80%,7.62,15.89,-33.05%,-,18.72,-46.49%,-15.77%,-36.63%,2.05,-,1.09,3.78%,44.37%,32.07%,0.42,-,1.56,-67.92%,-2.20%,48.81,3.43%,3.03%,1708,0.16,-5.24%,-4.74%,2.33,11.67,Yes / Yes,0.15,-3.83%,-,0.78,10.37,2.23%,-31.07%,2.81%,May 07 AMC,1.92M,10.07,-1.17%,4.66%,-17.27%,"

","1,500,156",-2.89%,SONO
Sonoco Products Co,Consumer Cyclical,Packaging & Containers,USA,NYSE,-,28.45,1.54,1.17%,98.63M,-4.87%,4.32B,6.72,6.52,6.14%,97.48M,-5.61%,153.20M,2.43,1.49,83.20%,3.65%,-7.66%,6.37B,0.68,22.93%,3.16%,4.37,-16.02%,24.82,1.76,8.45%,1.36%,3.56M,-24.36%,1.84,23.75,11.72%,5.54%,39.46,57.81,-10.38%,2.13 (4.86%),71.87,-10.55%,1.99%,-24.27%,0.68,2.09 (4.77%),0.51,-0.25%,21.48%,10.95%,1.02,"May 09, 2025",0.80,-61.14%,10.42%,41.70,1.73%,1.45%,28000,3.05,-4.58%,2.40%,1.77,56.33,Yes / Yes,2.15,-16.64%,125.36%,0.76,44.51,-16.13%,-1.88%,4.38%,Apr 29 AMC,814.04K,43.78,-3.35%,-2.21%,-10.39%,"

","619,736",-1.64%,SON
Solventum Corp,Healthcare,Medical Instruments & Supplies,USA,NYSE,S&P 500,33.53,2.17,20.00%,173.01M,-3.69%,12.59B,12.24,5.95,0.00%,138.41M,-1.82%,378.00M,-,1.45,67.79%,3.25%,-3.37%,8.31B,1.52,-16.85%,5.05%,3.72,3.93%,18.85,3.86,6.72%,2.59%,4.50M,34.42%,3.09,23.57,-0.19%,10.63%,47.16,85.92,10.14%,-,32.20,-,3.41%,-15.32%,0.69,-,0.85,-,55.45%,54.28%,1.82,-,1.19,-70.83%,10.67%,48.83,1.32%,1.36%,22000,2.53,1.28%,4.55%,2.77,81.57,Yes / Yes,2.40,-42.89%,0.00%,0.61,74.45,2.66%,10.64%,2.68%,May 08 AMC,1.21M,72.76,-1.32%,3.77%,2.13%,"

","733,323",-2.27%,SOLV
SoFi Technologies Inc,Financial,Credit Services,USA,NASD,-,34.29,0.42,2.13%,1.10B,0.28%,15.95B,27.45,0.53,-1.54%,1.08B,3.66%,472.29M,1.41,0.06,46.57%,13.33%,20.75%,3.89B,4.10,-29.46%,0.19%,2.37,-9.25%,6.05,2.39,91.10%,1.40%,144.21M,112.21%,2.46,5.86,24.31%,7.51%,6.01,18.42,-6.30%,-,10.91,-,4.81%,-21.66%,1.83,-,5.24,39.18%,57.60%,140.10%,0.65,-,5.24,285.65%,9.45%,56.48,4.81%,2.98%,5000,0.47,21.24%,12.13%,2.73,14.09,Yes / Yes,0.47,179.17%,0.00%,1.18,14.90,4.29%,84.05%,14.17%,Apr 29 BMO,60.91M,14.43,4.53%,12.18%,13.04%,"

","71,744,877",-3.15%,SOFI
Sable Offshore Corp,Energy,Oil & Gas Drilling,USA,NYSE,RUT,-,-8.34,23.61%,89.34M,-1.22%,2.22B,5.92,3.83,-0.62%,74.94M,-21.55%,-546.72M,-,-0.61,55.06%,13.54%,-11.56%,0.00M,-,96.55%,2.79%,4.49,13.48%,3.14,7.21,1306.01%,-38.26%,10.15M,52.56%,2.29,9.89,-,-200.53%,13.66,35.00,-1.14%,-,-,-,-48.16%,-35.31%,0.66,-,1.57,-,-,65.74%,1.74,-,1.67,-10.40%,-,40.50,1.18%,6.06%,161,3.04,-,-,1.00,41.60,Yes / Yes,3.04,59.32%,-,0.61,23.03,-100.00%,-236.87%,-,May 09 AMC,2.26M,22.64,-14.92%,-3.54%,-3.72%,"

","1,378,483",-1.69%,SOC
South Bow Corp,Energy,Oil & Gas Midstream,Canada,NYSE,-,27.46,0.97,0.17%,208.22M,0.19%,5.57B,14.71,1.82,0.00%,207.88M,7.83%,203.12M,10.86,0.37,86.72%,2.22%,1.02%,1.52B,3.66,-14.16%,10.28%,5.04,9.82%,12.49,2.14,15.08%,3.64%,4.61M,-,2.18,12.26,2.53%,15.62%,21.12,27.60,13.41%,2.00 (7.48%),-,-,2.44%,-3.15%,-,1.00 (3.74%),1.20,-,-,26.56%,0.59,"Jun 30, 2025",1.29,-,-,56.35,1.43%,1.50%,-,2.20,-,13.37%,2.75,25.81,Yes / Yes,2.20,-,-,1.04,26.99,-4.52%,7.09%,-,May 15 AMC,913.63K,26.73,1.06%,5.39%,7.38%,"

","948,082",-0.96%,SOBO
Southern Company,Utilities,Utilities - Regulated Electric,USA,NYSE,S&P 500,21.20,4.17,0.14%,1.10B,-0.99%,97.18B,19.32,4.58,-6.13%,1.10B,-0.33%,4.61B,3.24,0.98,68.91%,1.87%,-2.01%,27.85B,3.49,5.62%,0.74%,4.10,6.06%,30.79,2.87,6.97%,3.20%,20.56M,12.36%,2.12,41.67,6.55%,14.01%,76.96,94.45,7.41%,2.95 (3.34%),-,-2.34%,4.70%,-6.38%,0.37,2.90 (3.28%),0.64,4.75%,31.60%,14.89%,1.50,"May 19, 2025",0.86,8.02%,25.90%,45.40,1.04%,0.99%,28600,2.07,9.58%,16.54%,2.43,95.66,Yes / Yes,1.90,17.61%,71.61%,0.83,88.94,8.68%,2.39%,16.99%,May 01 BMO,5.01M,88.42,-0.97%,-1.34%,0.40%,"

","4,152,321",-0.58%,SO
Sanofi ADR,Healthcare,Drug Manufacturers - General,France,NASD,-,20.14,2.39,0.02%,2.61B,-3.33%,117.49B,9.59,5.03,0.00%,2.44B,-6.70%,6.02B,1.54,0.93,10.73%,0.19%,-18.42%,44.44B,2.64,24.13%,-1.41%,1.69,2.62%,32.01,1.51,9.07%,4.29%,4.56M,1.45%,3.21,15.02,13.10%,7.34%,45.80,60.12,-0.02%,2.36 (4.89%),14.77,13.05%,6.39%,-19.79%,0.48,2.21 (4.59%),0.73,1.91%,63.49%,5.28%,1.04,"May 09, 2025",1.08,2.96%,23.14%,36.98,2.18%,1.74%,84587,0.23,-4.57%,13.54%,1.69,65.40,Yes / Yes,0.17,-,66.53%,0.79,49.41,3.35%,3.11%,-,Apr 24 BMO,2.70M,48.22,-4.70%,-6.13%,-8.58%,"

","2,144,208",-2.41%,SNY
TD Synnex Corp,Technology,Electronics & Computer Distribution,USA,NYSE,-,15.72,8.00,6.43%,83.22M,-0.33%,10.56B,9.39,13.39,-2.01%,78.52M,0.60%,678.34M,1.67,2.72,90.50%,4.31%,-2.37%,59.01B,0.18,1.06%,1.79%,3.63,1.04%,96.74,1.30,13.47%,2.40%,3.39M,-3.18%,6.46,19.48,9.39%,8.40%,92.23,145.10,7.26%,1.77 (1.41%),-,-3.97%,5.75%,-13.30%,1.29,1.68 (1.34%),0.74,19.73%,5.97%,36.40%,2.55,"Apr 11, 2025",1.27,19.44%,2.02%,59.10,1.55%,1.48%,23000,0.54,4.62%,1.15%,1.42,134.50,Yes / Yes,0.46,2.17%,20.12%,0.85,125.14,-1.74%,-3.65%,3.98%,Jun 24 BMO,932.03K,125.80,1.88%,8.17%,2.90%,"

","791,838",0.53%,SNX
Synovus Financial Corp,Financial,Banks - Regional,USA,NYSE,-,13.30,3.56,0.73%,139.21M,-4.14%,6.59B,8.75,5.42,0.00%,138.00M,-4.16%,508.43M,1.38,1.24,87.11%,3.20%,1.69%,3.42B,1.93,14.87%,-0.51%,3.12,-13.31%,34.86,1.36,6.51%,0.92%,4.42M,28.14%,-,-,9.63%,10.63%,35.94,59.92,-7.46%,1.56 (3.29%),8.21,-2.64%,6.79%,-20.88%,1.20,1.53 (3.23%),-,7.51%,-,31.91%,1.21,"Jun 18, 2025",0.19,22.50%,19.88%,48.90,1.82%,1.76%,4775,0.40,-1.56%,14.88%,1.85,54.79,Yes / Yes,0.39,66.02%,50.14%,0.66,47.84,0.60%,16.13%,-1.56%,Apr 16 AMC,1.42M,47.41,-1.24%,4.14%,-3.59%,"

","932,015",-0.90%,SNV
"Synopsys, Inc",Technology,Software - Infrastructure,USA,NASD,"NDX, S&P 500",34.24,13.89,0.70%,155.15M,-5.75%,73.76B,28.24,16.84,-5.78%,154.07M,-7.59%,2.17B,2.42,3.85,91.01%,3.05%,6.12%,6.21B,11.87,14.66%,4.04%,3.49,-7.10%,63.91,7.44,11.23%,7.77%,4.70M,-18.95%,91.95,5.17,14.14%,15.82%,365.74,624.80,-2.05%,-,67.96,33.29%,10.56%,-23.91%,1.11,-,6.85,12.76%,76.65%,29.98%,15.34,-,7.02,50.17%,22.71%,46.50,1.45%,2.79%,20000,1.08,0.30%,34.88%,1.33,596.47,Yes / Yes,1.07,19.32%,0.00%,0.57,479.41,0.26%,8.11%,10.12%,May 28 AMC,1.35M,475.40,-2.14%,1.96%,-3.47%,"

","765,351",-0.84%,SNPS
