Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Scholar Rock Holding Corp,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.65,23.70%,94.87M,2.16%,3.23B,-,-1.53,-1.74%,72.44M,7.93%,2.93B,-,-0.68,96.85%,19.65%,1.19%,-264.16M,-,-7.21%,3.06%,10.72,-20.60%,0.00M,10.34,42.18%,-78.29%,14.23M,-21.24%,3.29,8.87,54.50%,-106.71%,6.76,46.98,287.70%,3.84,-,11.76% -5.90%,-71.40%,-27.54%,580.80%,-,-,- -,-,403.55%,93.63%,-,-,-20.30%,-,9.71%,5.11%,-,-,10.25,-,-,55.54,1.00,- -,10.25,-12.68%,6.45%,0.30,49.67,-,0.20,-,8.67%,2.40,36.32,196,0.18,May 14 BMO,8.05%,1.33M,34.04,"May 24, 2018",Yes / Yes,-1.41% -,"

","3,183,697",-6.28%,SRRK
Sarepta Therapeutics Inc,Healthcare,Biotechnology,USA,NASD,-,-,-2.58,4.99%,98.25M,-46.18%,1.97B,7.31,2.75,-0.05%,93.37M,-49.79%,2.79B,-,0.68,90.15%,9.92%,-72.66%,-248.39M,0.88,-272.66%,-0.96%,1.99,-84.16%,2.23B,1.73,172.92%,-7.43%,9.26M,-83.49%,11.63,3.77,19.75%,-23.61%,18.30,173.25,-82.81%,5.32,-,- -,-9.99%,-88.41%,-70.03%,-,-,39.42% 37.94%,80.07%,9.73%,-87.36%,-,1.25,-1881.09%,-5.25%,26.82%,12.60%,-28.59%,-,2.46,59.15%,-11.12%,20.47,2.07,- -,4.02,-1361.33%,-42.65%,0.60,54.00,0.00%,1.18,80.15%,-54.35%,2.71,20.77,1372,1.18,May 06 AMC,-79.13%,4.65M,20.08,"Jun 04, 1997",Yes / Yes,-43.44% 8.35%,"

","12,622,926",-3.32%,SRPT
Sempra,Utilities,Utilities - Diversified,USA,NYSE,S&P 500,16.30,4.54,0.09%,651.93M,-2.85%,48.30B,14.86,4.98,-9.21%,651.57M,-5.33%,91.72B,3.29,0.94,89.83%,1.01%,5.80%,2.92B,3.66,-3.02%,-0.64%,1.53,-16.44%,13.20B,1.57,10.51%,3.15%,6.56M,-15.57%,47.17,27.46,4.96%,9.76%,61.90,95.77,-1.04%,2.70,-,30.15% 3.92%,4.50%,-22.67%,2.28%,2.57 (3.48%),16.87,-0.27% 3.69%,27.73%,19.64%,18.26%,2.51 (3.38%),6.95,0.75%,22.38%,0.48%,1.32%,44.00%,"Jun 26, 2025",0.51,-0.39%,22.14%,42.53,2.25,4.07% 5.03%,0.57,10.05%,-2.92%,0.66,80.82,56.16%,1.19,6.75%,-1.04%,2.23,74.39,16773,1.05,May 08 BMO,-7.90%,4.29M,74.06,"Jun 29, 1998",Yes / Yes,9.14% -2.94%,"

","9,573,293",-0.44%,SRE
1st Source Corp,Financial,Banks - Regional,USA,NASD,RUT,10.35,5.75,25.49%,24.56M,-4.00%,1.46B,10.01,5.94,0.00%,18.30M,-5.03%,-,-,1.47,74.11%,1.14%,-3.52%,139.42M,2.54,10.76%,4.71%,1.97,-6.59%,575.62M,1.26,0.11%,1.58%,0.21M,1.92%,47.29,-,-,12.84%,49.69,68.12,17.96%,-,6.97,4.85% 8.67%,11.05%,-12.66%,31.20%,1.48 (2.49%),-,17.97% 8.40%,-,19.74%,75.57%,1.46 (2.45%),-,15.19%,31.18%,1.02%,1.38%,94.97%,"May 05, 2025",-,9.30%,24.22%,44.90,2.33,4.98% 4.94%,0.06,26.92%,-1.64%,0.67,69.00,25.86%,0.14,5.50%,-0.15%,4.68,59.12,1205,0.09,Apr 24 BMO,-2.20%,105.86K,59.50,"Aug 12, 1983",Yes / Yes,10.68% 1.04%,"

","495,042",0.64%,SRCE
Sportradar Group AG,Technology,Software - Application,Switzerland,NASD,-,123.06,0.21,41.25%,207.17M,0.28%,7.90B,47.75,0.53,0.00%,181.56M,7.08%,7.57B,1.40,0.04,44.05%,3.63%,13.90%,63.69M,6.39,215.05%,-3.69%,3.20,45.56%,1.24B,7.18,46.97%,2.47%,6.59M,46.48%,3.54,20.43,88.15%,6.40%,10.06,25.85,132.18%,1.24,19.12,31.86% 33.48%,5.81%,-1.74%,193.98%,-,19.92,21.74% 22.96%,19.53%,152.61%,-,-,6.13,116.24%,10.95%,0.43%,1.48%,-,-,1.35,21.75%,5.16%,64.36,1.25,- -,1.35,3880.95%,4.64%,2.04,28.77,0.00%,0.05,13.50%,7.43%,1.08,25.20,4766,0.04,May 12 BMO,34.85%,2.06M,25.40,"Sep 14, 2021",Yes / Yes,37.65% 0.53%,"

","2,222,959",0.79%,SRAD
Spire Inc,Utilities,Utilities - Regulated Gas,USA,NYSE,RUT,17.98,4.05,2.72%,59.01M,-0.59%,4.30B,14.33,5.08,0.00%,57.41M,-3.02%,9.29B,1.97,-0.15,87.45%,3.53%,-5.86%,236.90M,1.77,8.82%,-1.15%,4.48,7.34%,2.43B,1.32,13.12%,2.28%,2.02M,7.43%,55.35,282.93,9.14%,7.30%,58.23,79.81,24.37%,0.26,-,-5.49% 3.53%,3.45%,-8.70%,-0.14%,3.15 (4.32%),11.70,5.07% 5.84%,29.31%,25.14%,5.85%,3.11 (4.27%),3.83,2.54%,20.83%,0.39%,1.18%,41.06%,"Jun 11, 2025",0.34,-7.10%,9.76%,44.69,2.11,5.12% 4.97%,0.43,-2.06%,-1.15%,0.66,79.11,72.11%,1.36,-6.84%,-2.60%,1.81,72.41,3475,0.95,Apr 30 BMO,2.60%,451.81K,72.87,"Nov 05, 1987",Yes / Yes,-2.01% -14.49%,"

","818,157",0.64%,SR
Sociedad Quimica Y Minera de Chile S.A. ADR,Basic Materials,Specialty Chemicals,Chile,NYSE,-,15.20,2.11,0.64%,142.82M,-3.81%,4.58B,10.15,3.16,0.00%,141.91M,-6.28%,7.01B,-,0.61,29.49%,5.99%,-27.49%,602.68M,1.02,266.74%,5.24%,7.79,-14.41%,4.48B,1.74,33.43%,5.46%,8.51M,-11.77%,18.38,1.94,-,12.17%,29.36,45.89,-23.94%,16.53,12.59,- -,6.64%,-30.09%,-65.60%,1.14 (3.55%),4.92,16.53% 18.43%,27.84%,9.26%,31.36%,-,1.56,53.25%,23.61%,3.04%,2.30%,86.09%,"May 09, 2024",1.96,-28.74%,13.45%,43.43,1.94,- -,2.88,115.82%,-1.05%,1.07,47.28,-,0.90,-4.42%,-5.12%,0.78,33.11,8344,0.73,May 28 BMO,-15.37%,1.09M,32.08,"Sep 21, 1993",Yes / Yes,-17.64% 1.66%,"

","853,813",-3.11%,SQM
SPX Technologies Inc,Industrials,Building Products & Equipment,USA,NYSE,RUT,35.70,4.33,2.92%,46.70M,-2.73%,7.21B,21.92,7.04,-6.69%,45.34M,-0.89%,7.99B,3.04,1.45,93.86%,1.74%,13.90%,204.30M,3.60,12.81%,0.36%,2.90,-1.25%,2.00B,5.00,11.91%,6.88%,0.79M,6.12%,30.91,40.56,11.73%,15.24%,115.00,183.83,11.79%,3.81,31.24,45.50% 20.68%,8.82%,-16.00%,204.40%,-,18.71,17.61% 5.46%,37.13%,34.28%,284.99%,-,3.99,30.05%,16.47%,0.72%,1.43%,746.28%,"Jun 12, 2015",1.24,10.78%,10.21%,51.39,1.00,- -,1.88,4.11%,-0.76%,1.23,175.67,0.00%,0.67,3.74%,5.17%,1.25,156.03,4300,0.60,May 01 AMC,2.68%,272.74K,154.42,"Aug 02, 1972",Yes / Yes,17.57% 0.13%,"

","342,013",-1.03%,SPXC
Sprout Social Inc,Technology,Software - Application,USA,NASD,RUT,-,-1.04,14.10%,51.85M,-5.10%,1.15B,22.54,0.88,-4.59%,50.01M,-12.47%,1.08B,-,0.15,93.10%,6.40%,-21.36%,-59.62M,2.75,46.18%,-0.47%,4.33,-45.56%,418.41M,6.55,19.75%,-14.64%,3.20M,-35.75%,3.01,10.84,31.34%,-36.95%,18.52,39.74,-41.30%,1.82,38.22,-26.81% -2.58%,-28.49%,-50.36%,-58.00%,-,-,29.28% 31.63%,77.56%,6.53%,-26.22%,-,2.58,16.49%,-12.25%,1.70%,1.85%,-,-,0.87,17.79%,-14.25%,34.02,2.27,- -,0.87,19.55%,-7.47%,1.04,26.85,-,0.21,12.92%,-7.54%,0.99,20.07,1322,0.19,May 08 AMC,-27.20%,738.46K,19.73,"Dec 13, 2019",Yes / Yes,46.08% 1.34%,"

","733,277",-1.69%,SPT
SPS Commerce Inc,Technology,Software - Application,USA,NASD,RUT,62.43,2.14,1.39%,38.00M,-3.21%,5.07B,29.45,4.53,-9.80%,37.45M,-10.42%,4.99B,4.01,0.91,98.84%,3.83%,4.05%,81.25M,7.57,13.10%,-0.62%,4.24,-32.83%,669.74M,5.51,15.15%,8.34%,1.43M,-27.46%,24.23,53.40,15.55%,10.13%,120.08,218.61,-28.16%,2.50,36.04,19.04% 16.80%,8.76%,-38.95%,30.38%,-,34.11,18.29% 17.97%,63.58%,11.15%,89.70%,-,7.44,16.20%,14.85%,0.15%,1.99%,299.13%,-,1.20,19.46%,12.13%,38.42,1.62,- -,1.20,21.75%,-4.71%,0.73,177.50,0.00%,0.01,21.38%,-4.78%,1.06,134.09,2783,0.01,Apr 24 AMC,-19.22%,337.99K,133.47,"Apr 22, 2010",Yes / Yes,18.05% 1.41%,"

","359,641",-0.46%,SPSC
ARS Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.16,44.24%,98.13M,9.72%,1.55B,-,-0.71,-1.13%,54.77M,10.26%,1.28B,-,-0.47,53.75%,31.29%,10.41%,-15.65M,15.98,-1939.17%,11.99%,10.08,32.94%,97.12M,6.77,51.80%,-5.64%,17.14M,49.76%,2.33,5.63,55.23%,-6.91%,7.55,18.51,87.87%,2.81,-,- -,-6.83%,-14.64%,292.06%,-,-,152.98% -,97.66%,109.27%,-,-,13.14,68.69%,-27.87%,4.34%,3.87%,-,-,10.74,971120.00%,-16.11%,61.03,1.00,- -,11.00,-224.37%,7.24%,0.83,31.60,0.00%,0.00,-,10.75%,0.79,15.91,160,0.00,May 14 BMO,18.29%,1.70M,15.80,"Dec 04, 2020",Yes / Yes,-3.46% 6.57%,"

","1,337,610",-0.69%,SPRY
Spirit Aerosystems Holdings Inc,Industrials,Aerospace & Defense,USA,NYSE,-,-,-18.22,1.14%,117.32M,-0.91%,4.35B,21.91,1.69,0.00%,115.98M,-1.43%,8.59B,-,-0.73,91.24%,9.05%,6.09%,-2136.00M,0.71,90.30%,0.53%,7.91,10.94%,6.14B,-,225.53%,-32.26%,10.49M,8.92%,-27.27,19.78,-,-,27.00,39.00,21.82%,1.88,-,-52.26% -,-255.01%,-4.82%,36.82%,-,-,16.91% -4.29%,-22.79%,37.48%,32.52%,-,1.40,-109.95%,-29.75%,0.60%,1.08%,-32.53%,"Sep 09, 2022",0.44,-2.91%,-34.81%,49.45,2.82,- -,1.03,1.80%,-1.18%,1.63,36.07,-,-,-10.63%,2.32%,1.44,36.86,20370,-,May 01 AMC,9.43%,1.33M,37.12,"Nov 21, 2006",Yes / Yes,-276.87% -10.35%,"

","1,912,300",0.71%,SPR
Spotify Technology S.A,Communication Services,Internet Content & Information,Luxembourg,NYSE,-,116.60,6.07,25.18%,205.06M,0.65%,142.04B,50.04,14.14,0.00%,150.33M,7.41%,135.76B,2.75,2.50,68.03%,4.38%,18.98%,1.25B,8.16,54.61%,1.40%,2.84,45.89%,17.41B,21.50,44.72%,10.66%,6.58M,58.13%,32.91,16.62,42.36%,24.28%,288.07,728.80,127.31%,42.57,51.08,- -,17.32%,-2.93%,621.49%,-,69.43,14.05% 17.50%,30.92%,145.57%,276.53%,-,7.80,1082.65%,10.51%,1.09%,2.06%,-,-,1.48,16.07%,7.19%,60.10,1.98,- -,1.48,7.34%,2.91%,1.66,699.22,0.00%,0.34,11.74%,10.38%,0.66,710.19,-,0.07,Apr 29 BMO,37.13%,2.32M,707.42,"Apr 03, 2018",Yes / Yes,-51.03% 0.07%,"

","1,526,037",-0.39%,SPOT
SiriusPoint Ltd,Financial,Insurance - Reinsurance,Bermuda,NYSE,RUT,20.24,0.95,8.36%,116.02M,-1.58%,2.25B,7.88,2.45,-29.80%,106.85M,-1.13%,-,1.14,0.60,86.44%,2.12%,22.38%,150.60M,0.85,24.79%,-29.50%,3.08,23.96%,2.65B,1.23,12.48%,1.68%,2.26M,17.75%,15.73,-,17.75%,7.20%,11.95,20.00,57.17%,-,-,56.30% -13.44%,5.56%,-3.50%,264.15%,-,-,6.09% 21.93%,-,61.44%,150.00%,-,-,-44.54%,9.88%,0.80%,1.19%,32.74%,-,-,-5.57%,5.69%,53.38,2.00,- -,0.72,-0.14%,-0.52%,0.86,20.00,0.00%,0.34,6.10%,4.84%,1.43,19.32,1072,0.34,May 05 AMC,23.58%,733.83K,19.30,"Aug 15, 2013",Yes / Yes,111.30% 0.48%,"

","1,049,484",-0.10%,SPNT
Sapiens International Corp NV,Technology,Software - Application,Israel,NASD,RUT,21.92,1.30,45.17%,55.74M,-0.35%,1.59B,18.36,1.55,0.00%,30.64M,0.67%,1.44B,5.77,0.33,39.86%,2.74%,6.41%,72.76M,2.92,-4.46%,1.45%,5.21,-1.12%,544.24M,3.44,9.34%,10.41%,0.84M,7.16%,8.26,7.71,3.80%,16.09%,23.69,40.64,-14.58%,3.68,18.39,14.29% 19.63%,15.26%,-30.15%,41.63%,0.58 (2.04%),13.41,5.57% 10.74%,45.44%,19.84%,2.95%,0.59 (2.06%),2.64,10.25%,16.99%,1.11%,1.30%,218.17%,"Apr 07, 2025",1.68,3.84%,13.37%,48.47,3.40,7.87% 33.34%,1.68,3.26%,-1.07%,0.97,29.75,45.90%,0.09,1.38%,1.56%,1.03,28.42,4850,0.03,May 08 BMO,-3.27%,161.05K,28.39,"May 29, 1992",Yes / Yes,4.52% -0.14%,"

","166,017",-0.11%,SPNS
Sphere Entertainment Co,Communication Services,Entertainment,USA,NYSE,RUT,-,-9.82,23.82%,28.98M,-1.71%,1.39B,-,-,-0.64%,27.43M,-2.06%,2.37B,-,-1.54,100.46%,28.19%,19.62%,-349.03M,1.17,-,9.09%,9.22,1.29%,1.19B,0.64,-,-8.03%,7.73M,-4.41%,59.75,2.90,-,-15.64%,23.89,50.88,11.74%,13.28,-,-7.28% -50.11%,-12.55%,-24.25%,45.48%,-,17.36,8.04% -0.42%,20.29%,61.32%,12.38%,-,1.99,-188.54%,-18.29%,2.76%,1.84%,-,-,0.52,-5.04%,-29.34%,57.14,1.89,- -,0.53,-70.16%,0.93%,1.66,49.44,-,0.68,-12.68%,14.90%,0.53,38.44,970,0.30,May 08 BMO,-1.35%,839.00K,38.54,"Apr 09, 2020",Yes / Yes,-4.19% -3.13%,"

","446,187",0.26%,SPHR
Suburban Propane Partners LP,Utilities,Utilities - Regulated Gas,USA,NYSE,-,13.21,1.44,4.48%,64.94M,3.82%,1.24B,10.40,1.83,-0.62%,62.05M,-1.81%,2.65B,1.98,-0.17,39.41%,1.16%,-9.51%,94.76M,0.87,4.68%,11.78%,4.26,5.54%,1.42B,1.84,6.09%,4.00%,0.72M,10.70%,10.35,132.85,6.67%,14.42%,15.20,22.24,-1.35%,0.14,17.62,-16.14% 0.78%,4.60%,-14.39%,17.10%,1.30 (6.83%),9.57,0.98% 0.92%,21.31%,25.26%,25.02%,1.30 (6.83%),1.86,-14.66%,14.63%,1.52%,1.70%,-53.73%,"May 06, 2025",0.81,4.02%,6.65%,52.58,3.00,1.86% -11.54%,1.06,22.14%,1.99%,0.12,17.00,113.65%,2.12,17.98%,-1.89%,5.46,18.93,3098,2.06,May 08 BMO,-1.04%,168.31K,19.04,"Feb 29, 1996",Yes / Yes,-5.14% 8.23%,"

","918,792",0.58%,SPH
S&P Global Inc,Financial,Financial Data & Stock Exchanges,USA,NYSE,S&P 500,39.59,12.74,0.14%,313.61M,-0.33%,154.64B,26.61,18.95,-5.96%,306.18M,-3.58%,169.55B,3.81,4.14,88.93%,0.78%,1.41%,3.95B,10.67,7.89%,-0.53%,1.88,0.27%,14.49B,4.74,11.85%,6.57%,2.38M,1.24%,106.41,105.27,10.39%,11.68%,427.14,545.39,16.36%,4.79,27.86,-0.42% 7.51%,8.73%,-7.55%,58.84%,3.81 (0.76%),23.80,19.64% 16.23%,61.35%,18.04%,57.74%,3.74 (0.74%),11.70,42.72%,41.03%,0.64%,0.70%,386.21%,"May 28, 2025",0.90,12.98%,27.27%,46.10,1.39,5.73% 9.81%,0.90,12.24%,-1.28%,1.19,584.86,29.47%,0.36,8.19%,0.93%,1.64,502.63,42350,0.36,Apr 29 BMO,-0.46%,1.26M,504.20,"Feb 14, 1929",Yes / Yes,4.05% 2.13%,"

","2,078,045",0.31%,SPGI
"Simon Property Group, Inc",Real Estate,REIT - Retail,USA,NYSE,S&P 500,23.50,6.69,0.87%,326.42M,-0.96%,59.31B,22.92,6.86,0.15%,323.61M,-3.48%,83.91B,-,1.54,92.74%,1.56%,-4.37%,2.22B,9.90,-12.44%,2.32%,2.78,-13.55%,5.99B,20.02,7.91%,6.32%,5.03M,-8.68%,7.86,42.98,-1.55%,73.22%,136.34,190.13,6.52%,3.66,17.16,6.59% 2.13%,8.84%,-17.29%,63.01%,8.48 (5.39%),19.20,5.25% 1.05%,60.92%,15.35%,111.48%,8.32 (5.29%),14.00,-14.90%,51.47%,0.44%,0.82%,-11.05%,"Jun 09, 2025",0.80,4.25%,37.06%,43.05,2.05,11.46% -0.49%,0.80,-38.19%,-1.63%,1.49,183.56,107.34%,9.70,2.11%,-0.68%,1.55,157.10,3000,8.65,May 12 AMC,-7.13%,1.81M,157.27,"Dec 14, 1993",Yes / Yes,-6.79% 9.41%,"

","2,806,481",0.11%,SPG
Spectrum Brands Holdings Inc,Consumer Defensive,Household & Personal Products,USA,NYSE,-,24.92,2.09,3.78%,25.30M,-4.05%,1.30B,11.24,4.64,-7.00%,24.06M,-18.59%,1.92B,2.96,1.42,102.94%,9.81%,-25.65%,59.10M,0.44,-3.18%,-2.19%,4.24,-41.76%,2.93B,0.70,17.93%,1.39%,2.36M,-38.34%,74.49,13.57,8.41%,2.79%,51.12,96.62,-41.90%,3.84,16.47,-3.53% -,2.28%,-46.08%,-33.87%,1.82 (3.50%),7.84,-0.38% -4.86%,37.42%,1.92%,13.98%,1.83 (3.51%),0.66,-95.70%,4.97%,1.60%,2.00%,-28.86%,"May 27, 2025",1.40,1.46%,2.02%,31.28,1.80,0.00% 0.00%,2.34,-98.29%,-5.95%,0.92,83.57,41.06%,0.38,-5.94%,-12.87%,1.45,52.01,3100,0.37,May 08 BMO,-33.75%,556.40K,52.10,"Jul 02, 1962",Yes / Yes,-50.12% -2.25%,"

","806,982",0.17%,SPB
SoundHound AI Inc,Technology,Software - Application,USA,NASD,RUT,-,-0.55,10.43%,368.87M,1.06%,3.84B,-,-0.23,-2.80%,359.84M,-4.01%,3.60B,-,-0.09,41.05%,32.45%,-0.21%,-188.52M,37.61,109.62%,24.67%,4.14,-51.40%,102.23M,9.68,-330.00%,-43.07%,116.77M,-51.76%,0.99,15.64,-,-68.22%,3.82,24.98,123.08%,0.61,-,-37.66% -,-47.19%,-61.69%,226.62%,-,-,58.68% -,34.35%,150.52%,-,-,35.25,-42.58%,-132.17%,4.33%,4.87%,-,-,4.92,101.39%,-184.41%,47.94,1.78,- -,4.92,368.04%,-3.17%,2.87,11.83,-,0.01,151.24%,0.22%,0.87,9.42,842,0.01,May 08 AMC,-3.54%,28.17M,9.57,"Apr 28, 2022",Yes / Yes,461.73% -4.10%,"

","24,637,997",1.59%,SOUN
Sony Group Corporation ADR,Technology,Consumer Electronics,Japan,NYSE,-,20.03,1.24,0.00%,6.03B,-6.25%,149.12B,18.09,1.37,-,6.02B,-4.07%,156.43B,4.86,0.25,7.87%,0.19%,-0.56%,7.50B,1.75,-5.63%,2.65%,1.84,15.17%,84.99B,2.73,12.38%,3.25%,11.65M,16.97%,9.08,6.49,4.12%,14.32%,15.96,26.94,52.55%,3.81,9.12,-41.97% 7.37%,10.95%,-8.15%,49.10%,0.17 (0.69%),9.30,-1.26% 2.32%,28.30%,55.11%,77.47%,0.07 (0.27%),1.84,14.01%,10.88%,2.48%,1.83%,306.54%,"Mar 31, 2025",0.57,-5.46%,8.83%,39.96,1.67,7.72% 10.76%,0.70,3.48%,-5.43%,0.96,30.49,7.86%,0.51,-26.39%,-1.91%,1.31,25.88,112300,0.25,May 14 BMO,12.30%,6.35M,24.75,"Sep 17, 1970",Yes / Yes,30.41% -12.01%,"

","8,325,959",-4.37%,SONY
Sonos Inc,Technology,Consumer Electronics,USA,NASD,RUT,-,-0.59,2.35%,123.76M,-2.56%,1.19B,-,-0.38,43.92%,117.23M,-5.44%,1.03B,-,-0.26,92.05%,6.07%,-15.30%,-69.29M,0.81,-158.06%,-1.18%,3.68,-32.40%,1.46B,3.20,52.08%,-8.07%,7.12M,-34.11%,3.09,5.32,45.57%,-15.80%,7.62,15.89,-34.72%,1.86,18.42,- -46.49%,-15.77%,-37.63%,-49.44%,-,34.42,-4.02% 3.78%,44.37%,29.97%,-24.81%,-,0.70,-67.92%,-2.20%,3.18%,2.69%,-,-,1.09,-5.24%,-4.74%,46.50,2.33,- -,1.56,-3.83%,-2.51%,2.05,11.67,-,0.16,2.81%,2.33%,1.30,9.93,1708,0.15,May 07 AMC,-18.43%,1.93M,9.91,"Aug 02, 2018",Yes / Yes,-31.07% 2.23%,"

","2,508,129",-0.20%,SONO
Sonoco Products Co,Consumer Cyclical,Packaging & Containers,USA,NYSE,-,27.98,1.54,1.17%,98.63M,-5.67%,4.25B,6.61,6.52,6.14%,97.48M,-6.66%,11.54B,2.39,1.49,83.19%,3.65%,-9.99%,153.20M,0.67,22.93%,3.14%,4.39,-16.42%,6.37B,1.73,8.42%,1.36%,3.56M,-11.87%,24.82,23.35,11.72%,5.54%,39.46,57.21,-25.25%,1.84,70.67,- -10.55%,1.99%,-24.75%,-21.44%,2.13 (4.94%),10.78,-1.70% -0.25%,21.48%,9.10%,-14.33%,2.09 (4.85%),1.81,-61.14%,10.42%,0.79%,1.42%,-4.86%,"May 09, 2025",0.51,-4.58%,2.40%,38.14,1.77,4.77% 4.02%,0.80,-16.64%,-4.45%,0.68,56.33,125.36%,3.05,4.38%,-4.02%,1.36,43.46,28000,2.15,Apr 29 AMC,-11.65%,809.81K,43.05,"Nov 01, 1982",Yes / Yes,-1.88% -16.13%,"

","1,100,721",-0.94%,SON
Solventum Corp,Healthcare,Medical Instruments & Supplies,USA,NYSE,S&P 500,33.90,2.17,20.00%,173.01M,-0.97%,12.73B,12.37,5.95,0.00%,138.41M,-1.51%,20.46B,-,1.45,67.76%,3.25%,-1.89%,378.00M,1.53,-16.85%,5.05%,3.73,6.21%,8.31B,3.90,6.72%,2.59%,4.50M,11.37%,18.85,23.84,-0.19%,10.63%,47.16,85.92,34.67%,3.09,32.55,-31.16% -,3.41%,-14.37%,-,-,14.32,0.34% -,55.45%,56.00%,-,-,2.46,-70.83%,10.67%,1.60%,1.22%,-,-,0.85,1.28%,4.55%,52.30,2.77,- -,1.19,-42.89%,-0.14%,0.69,81.57,0.00%,2.53,2.68%,4.40%,0.96,72.63,22000,2.40,May 08 AMC,3.13%,1.21M,73.57,"Mar 26, 2024",Yes / Yes,10.64% 2.66%,"

","1,157,440",1.29%,SOLV
SoFi Technologies Inc,Financial,Credit Services,USA,NASD,-,36.12,0.42,2.12%,1.10B,2.01%,16.80B,28.91,0.53,-1.28%,1.08B,14.54%,17.22B,1.49,0.06,46.57%,13.33%,20.25%,472.29M,4.31,-29.46%,0.19%,2.32,-9.95%,3.89B,2.51,91.10%,1.40%,144.21M,-1.30%,6.05,6.17,24.31%,7.51%,6.01,18.42,135.29%,2.46,11.49,- -,4.81%,-17.48%,156.54%,-,29.43,51.29% 39.18%,57.60%,152.91%,-,-,4.42,285.65%,9.45%,4.73%,3.00%,-,-,5.24,21.24%,12.13%,61.56,2.73,- -,5.24,179.17%,8.34%,1.83,14.09,0.00%,0.47,14.17%,16.14%,1.40,15.36,5000,0.47,Apr 29 BMO,18.40%,62.08M,15.20,"Nov 30, 2020",Yes / Yes,84.05% 4.29%,"

","86,814,351",-1.04%,SOFI
Sable Offshore Corp,Energy,Oil & Gas Drilling,USA,NYSE,RUT,-,-8.34,23.61%,89.34M,-3.53%,2.17B,5.79,3.83,-0.62%,74.94M,-32.39%,2.80B,-,-0.61,55.06%,13.54%,-14.64%,-546.72M,-,96.55%,2.83%,4.46,1.47%,0.00M,7.05,1306.01%,-38.26%,10.15M,-3.28%,3.14,9.68,-,-200.53%,13.66,35.00,47.47%,2.29,-,- -,-48.16%,-36.71%,127.18%,-,-,- -,-,62.15%,-,-,-,-10.40%,-,1.29%,6.06%,-,-,1.57,-,-,38.80,1.00,- -,1.67,59.32%,-13.44%,0.67,41.60,-,3.04,-,-6.41%,0.82,22.50,161,3.04,May 09 AMC,-6.03%,2.27M,22.15,"Apr 19, 2021",Yes / Yes,-236.87% -100.00%,"

","1,857,241",-1.56%,SOC
South Bow Corp,Energy,Oil & Gas Midstream,Canada,NYSE,-,26.88,0.97,0.17%,208.22M,-4.18%,5.45B,14.39,1.82,0.00%,207.88M,1.59%,10.71B,10.62,0.37,86.75%,2.22%,-1.84%,203.12M,3.58,-14.16%,10.25%,4.96,10.38%,1.52B,2.10,15.08%,3.64%,4.61M,10.99%,12.49,12.00,2.53%,15.62%,21.12,27.60,-,2.18,-,- -,2.44%,-5.22%,-,2.00 (7.65%),-,- -,-,23.86%,-,1.00 (3.82%),7.05,-,-,1.09%,1.35%,-,"Jun 30, 2025",1.20,-,13.37%,49.00,2.75,- -,1.29,-,-1.24%,-,25.85,-,2.20,-,2.56%,1.49,26.11,-,2.20,May 15 AMC,5.03%,928.08K,26.16,"Oct 03, 2024",Yes / Yes,7.09% -4.52%,"

","1,381,399",0.19%,SOBO
